team,predicted_win,predicted_wins,predicted_losses,AvgRank,PlayoffProb,playoff_probability
KIA,0.6307015837378646,91.0,53.0,1.0,1.0,1.0
KT,0.3679823751886866,53.0,91.0,6.0,0.5,0.5
LG,0.37747640003645344,54.0,90.0,5.0,0.6,0.6
NC,0.1888660061783608,27.0,117.0,9.0,0.19999999999999996,0.19999999999999996
SSG,0.5618878063048178,81.0,63.0,2.0,0.9,0.9
두산,0.49777647557604116,72.0,72.0,4.0,0.7,0.7
롯데,0.5155872513581462,74.0,70.0,3.0,0.8,0.8
삼성,0.2217203753683167,32.0,112.0,7.0,0.4,0.4
키움,0.11780080065401442,17.0,127.0,10.0,0.09999999999999998,0.09999999999999998
한화,0.21731338687952714,31.0,113.0,8.0,0.30000000000000004,0.30000000000000004
